Station,Year,Month,Day,Daily Rainfall Total,Highest 30 Min Rainfall,Highest 60 Min Rainfall,Highest 120 Min Rainfall,Mean Temperature,Maximum Temperature,Minimum Temperature,Mean Wind Speed,Max Wind Speed
Sembawang,1991,11,9,14.6,,,,26.6,31.5,22.5,7.2,
Sembawang,1991,11,10,23.3,,,,26.9,31.5,21.4,6,
Sembawang,1991,11,11,0.8,,,,26,30.6,21.7,3.9,
Sembawang,1991,11,12,2.9,,,,25.7,31.8,23.3,8.1,
Sembawang,1991,11,13,0,,,,25.7,28.9,23.1,7.5,
Sembawang,1991,11,14,0,,,,26.1,30.1,23.2,11.6,
Sembawang,1991,11,15,0.5,,,,26.2,32,22.6,10.2,
Sembawang,1991,11,16,0.2,,,,26.3,31.9,22.5,10,
Sembawang,1991,11,17,0,,,,25.7,29.2,23.3,4.9,
Sembawang,1991,11,18,0,,,,26.7,31.6,22.6,7.5,
Sembawang,1991,11,19,26.1,,,,26.5,31.5,23.4,7,
Sembawang,1991,11,20,19.7,,,,25.4,30.4,23.4,6.6,
Sembawang,1991,11,21,45.2,,,,25.8,28.8,23.5,4.2,
Sembawang,1991,11,22,4.5,,,,24.4,26.1,22.8,2.9,
Sembawang,1991,11,23,0,,,,25.8,31.4,22.1,4.5,
Sembawang,1991,11,24,3.7,,,,25.6,32,22.6,5.2,
Sembawang,1991,11,25,13.2,,,,25.6,30.7,22.8,10,
Sembawang,1991,11,26,35.2,,,,25,29.5,23.1,5.6,
Sembawang,1991,11,27,0,,,,26.2,30.3,22.9,7.9,
Sembawang,1991,11,28,0.6,,,,26.5,30.6,24,8.3,
Sembawang,1991,11,29,4.4,,,,25.4,29.5,23.4,6.2,
Sembawang,1991,11,30,58.4,,,,25.3,31.5,23.2,7.7,
Sembawang,1991,12,1,0,,,,26.8,32.1,23,10.5,
Sembawang,1991,12,2,0,,,,26.4,30.8,23,10.2,
Sembawang,1991,12,3,18.9,,,,25.4,29.3,23.7,9,
Sembawang,1991,12,4,39,,,,23.8,25.5,22.3,7.2,
Sembawang,1991,12,5,39.3,,,,24.6,27.8,23.1,8.1,
Sembawang,1991,12,6,28.2,,,,23,25.3,22.1,7,
Sembawang,1991,12,7,59.9,,,,22.8,23.4,21.7,6.7,
Sembawang,1991,12,8,15.9,,,,24,26.7,22.2,7.2,
Sembawang,1991,12,9,0.4,,,,24.7,27.1,22.8,8.3,
Sembawang,1991,12,10,1.8,,,,24.3,27.3,23,7.5,
Sembawang,1991,12,11,0,,,,26.2,31.4,21.5,6.8,
Sembawang,1991,12,12,0,,,,26.6,31.5,23.4,5,
Sembawang,1991,12,13,0,,,,26.9,31.2,23.5,6.8,
Sembawang,1991,12,14,13.9,,,,26.4,31.1,23.3,7.6,
Sembawang,1991,12,15,22.6,,,,25,26.7,23.6,3.2,
Sembawang,1991,12,16,0.4,,,,26.1,29.6,23.3,5.6,
Sembawang,1991,12,17,3,,,,25.6,29.2,22.4,3.6,
Sembawang,1991,12,18,0,,,,26,30.8,22.6,4.9,
Sembawang,1991,12,19,7.1,,,,25.3,27.3,23.5,4.7,
Sembawang,1991,12,20,8.8,,,,24.7,26.6,23.4,5.5,
Sembawang,1991,12,21,7,,,,24.9,28.4,23.1,5.2,
Sembawang,1991,12,22,79.3,,,,24.4,26.9,22.5,3.2,
Sembawang,1991,12,23,60.8,,,,24.3,27.6,23,7.6,
Sembawang,1991,12,24,0,,,,26.1,30.2,22.4,6.1,
Sembawang,1991,12,25,10.4,,,,26.4,30.6,23.3,9.4,
Sembawang,1991,12,26,57.4,,,,25.1,30.2,23.8,6.5,
Sembawang,1991,12,27,0,,,,26.5,31.9,22.1,9.5,
Sembawang,1991,12,28,55.8,,,,25.3,31.9,21.6,7.1,
Sembawang,1991,12,29,1.6,,,,24.8,27.6,22.4,8.6,
Sembawang,1991,12,30,0,,,,25.6,31.1,22.8,3.9,
Sembawang,1991,12,31,50.4,,,,25.1,30.5,22.6,7.4,
Sembawang,1992,1,1,0,,,,25.3,29.3,21.9,6.4,
Sembawang,1992,1,2,0.1,,,,25.7,30.2,23.3,5.5,
Sembawang,1992,1,3,12.3,,,,25.9,31.1,22.8,6.8,
Sembawang,1992,1,4,0,,,,26.5,30.7,23.2,8.3,
Sembawang,1992,1,5,0.6,,,,26.9,31.6,23.4,6.4,
Sembawang,1992,1,6,0,,,,27.2,31.6,24,11.4,
Sembawang,1992,1,7,0,,,,26.8,31.4,22.9,13.1,
Sembawang,1992,1,8,0,,,,26.8,31.6,22.9,12.8,
Sembawang,1992,1,9,0,,,,26.7,32.4,22.4,13.2,
Sembawang,1992,1,10,0,,,,26.9,31.9,22.8,13.5,
Sembawang,1992,1,11,0,,,,27,32.1,23.5,15.1,
Sembawang,1992,1,12,3.2,,,,25.1,29.5,23,9.2,
Sembawang,1992,1,13,0,,,,26.3,31.5,22.4,13.8,
