Station,Year,Month,Day,Daily Rainfall Total (mm),Daily Rainfall Total,Highest 30 Min Rainfall,Highest 120 Min Rainfall,Mean Temperature,Maximum Temperature,Minimum Temperature,Mean Wind Speed (km/h),Max Wind Speed (km/h)
Jurong (West),1982,4,14,5.4,,,,,,,,
Jurong (West),1982,4,15,0,,,,,,,,
Jurong (West),1982,4,16,0.1,,,,,,,,
Jurong (West),1982,4,17,6.3,,,,,,,,
Jurong (West),1982,4,18,0,,,,,,,,
Jurong (West),1982,4,19,0,,,,,,,,
Jurong (West),1982,4,20,24.9,,,,,,,,
Jurong (West),1982,4,21,0,,,,,,,,
Jurong (West),1982,4,22,0,,,,,,,,
Jurong (West),1982,4,23,0,,,,,,,,
Jurong (West),1982,4,24,0,,,,,,,,
Jurong (West),1982,4,25,4.5,,,,,,,,
Jurong (West),1982,4,26,0.2,,,,,,,,
Jurong (West),1982,4,27,5.4,,,,,,,,
Jurong (West),1982,4,28,8.2,,,,,,,,
Jurong (West),1982,4,29,0.8,,,,,,,,
Jurong (West),1982,4,30,9.5,,,,,,,,
Jurong (West),1982,5,1,2,,,,,,,,
Jurong (West),1982,5,2,0,,,,,,,,
Jurong (West),1982,5,3,0,,,,,,,,
Jurong (West),1982,5,4,0,,,,,,,,
Jurong (West),1982,5,5,0,,,,,,,,
Jurong (West),1982,5,6,0.4,,,,,,,,
Jurong (West),1982,5,7,5.1,,,,,,,,
Jurong (West),1982,5,8,0,,,,,,,,
Jurong (West),1982,5,9,0,,,,,,,,
Jurong (West),1982,5,10,0,,,,,,,,
Jurong (West),1982,5,11,0.7,,,,,,,,
Jurong (West),1982,5,12,0,,,,,,,,
Jurong (West),1982,5,13,13.8,,,,,,,,
Jurong (West),1982,5,14,0,,,,,,,,
Jurong (West),1982,5,15,22.7,,,,,,,,
Jurong (West),1982,5,16,0,,,,,,,,
Jurong (West),1982,5,17,0,,,,,,,,
Jurong (West),1982,5,18,0,,,,,,,,
Jurong (West),1982,5,19,0,,,,,,,,
Jurong (West),1982,5,20,4.9,,,,,,,,
Jurong (West),1982,5,21,0,,,,,,,,
Jurong (West),1982,5,22,0,,,,,,,,
Jurong (West),1982,5,23,3.9,,,,,,,,
Jurong (West),1982,5,24,3.8,,,,,,,,
Jurong (West),1982,5,25,1.9,,,,,,,,
Jurong (West),1982,5,26,22.9,,,,,,,,
Jurong (West),1982,5,27,5.9,,,,,,,,
Jurong (West),1982,5,28,6.7,,,,,,,,
Jurong (West),1982,5,29,39.1,,,,,,,,
Jurong (West),1982,5,30,0,,,,,,,,
Jurong (West),1982,5,31,2.1,,,,,,,,
Jurong (West),1982,6,1,0.2,,,,,,,,
Jurong (West),1982,6,2,2,,,,,,,,
Jurong (West),1982,6,3,26.9,,,,,,,,
Jurong (West),1982,6,4,4.3,,,,,,,,
Jurong (West),1982,6,5,0.5,,,,,,,,
Jurong (West),1982,6,6,0,,,,,,,,
Jurong (West),1982,6,7,0,,,,,,,,
Jurong (West),1982,6,8,0,,,,,,,,
Jurong (West),1982,6,9,0,,,,,,,,
Jurong (West),1982,6,10,0,,,,,,,,
Jurong (West),1982,6,11,0,,,,,,,,
Jurong (West),1982,6,12,0,,,,,,,,
Jurong (West),1982,6,13,9.2,,,,,,,,
